"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"fr-lm-statut-document-entree","fr-lm-statut-document-entree","","","",0,*,"","","","null {[]} {[]}
","Modèle logique métier - FR LM Statut du document","Statut du document","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"fr-lm-statut-document-entree.identifiant","fr-lm-statut-document-entree.identifiant","","","",1,1,"","","","Identifier {[]} {[]}
","Identifiant de l'entrée","Identifiant de l'entrée","","","","","","","","","",,,,,"",,,,"fr-lm-statut-document-entree.identifiant",1,1,"",""
"fr-lm-statut-document-entree.code","fr-lm-statut-document-entree.code","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Code de l'entrée","Code de l'entrée","","","","","","","","","",,,,,"",,,,"fr-lm-statut-document-entree.code",1,1,"",""
"fr-lm-statut-document-entree.description","fr-lm-statut-document-entree.description","","","",1,1,"","","","Narrative {[]} {[]}
","Description narrative de l'entrée","Description narrative de l'entrée","","","","","","","","","",,,,,"",,,,"fr-lm-statut-document-entree.description",1,1,"",""
"fr-lm-statut-document-entree.statut","fr-lm-statut-document-entree.statut","","","",1,1,"","","","code {[]} {[]}
","Statut de l'entrée. Fixé à la valeur 'completed'","Statut de l'entrée. Fixé à la valeur 'completed'","","","","","","","","","",,,,,"",,,,"fr-lm-statut-document-entree.statut",1,1,"",""
"fr-lm-statut-document-entree.date","fr-lm-statut-document-entree.date","","","",1,1,"","","","dateTime {[]} {[]}
","Date du statut du document","Date du statut du document","","","","","","","","","",,,,,"",,,,"fr-lm-statut-document-entree.date",1,1,"",""
"fr-lm-statut-document-entree.statutDocument","fr-lm-statut-document-entree.statutDocument","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Statut du document","Statut du document","","","","","","","","","",,"","jdv-statut-document-cisis (1.2.250.1.213.1.1.5.93)","","",,,,"fr-lm-statut-document-entree.statutDocument",1,1,"",""
"fr-lm-statut-document-entree.auteur","fr-lm-statut-document-entree.auteur","","","",0,1,"","","","https://interop.esante.gouv.fr/ig/document/core/StructureDefinition/fr-lm-auteur {[]} {[]}
","Auteur","Auteur","","","","","","","","","",,,,,"",,,,"fr-lm-statut-document-entree.auteur",0,1,"",""
