"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"fr-lm-directive-anticipee","fr-lm-directive-anticipee","","","",0,*,"","","","null {[]} {[]}
","Modèle logique métier - FR LM Directive anticipée","Directive anticipée","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"fr-lm-directive-anticipee.identifiant","fr-lm-directive-anticipee.identifiant","","","",1,1,"","","","Identifier {[]} {[]}
","Identifiant de l'observation","Identifiant de l'observation","","","","","","","","","",,,,,"",,,,"fr-lm-directive-anticipee.identifiant",1,1,"",""
"fr-lm-directive-anticipee.code","fr-lm-directive-anticipee.code","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Type de la directive anticipée","Type de la directive anticipée","","","","","","","","","",,,,,"",,,,"fr-lm-directive-anticipee.code",1,1,"",""
"fr-lm-directive-anticipee.description","fr-lm-directive-anticipee.description","","","",1,1,"","","","Narrative {[]} {[]}
","Partie narrative de l'observation","Partie narrative de l'observation","","","","","","","","","",,,,,"",,,,"fr-lm-directive-anticipee.description",1,1,"",""
"fr-lm-directive-anticipee.statut","fr-lm-directive-anticipee.statut","","","",1,1,"","","","code {[]} {[]}
","Statut de l'observation","Statut de l'observation","","","","","","<valueCode xmlns=""http://hl7.org/fhir"" value=""completed""/>","","","",,,,,"",,,,"fr-lm-directive-anticipee.statut",1,1,"",""
"fr-lm-directive-anticipee.date","fr-lm-directive-anticipee.date","","","",1,1,"","","","dateTime {[]} {[]}
","Date de la directive anticipée","Date de la directive anticipée","","","","","","","","","",,,,,"",,,,"fr-lm-directive-anticipee.date",1,1,"",""
"fr-lm-directive-anticipee.valeurDirectiveIdentifiee","fr-lm-directive-anticipee.valeurDirectiveIdentifiee","","","",0,1,"","","","boolean {[]} {[]}
","Procédure autorisée ou pas","Procédure autorisée ou pas","","","","","","","","","",,,,,"",,,,"fr-lm-directive-anticipee.valeurDirectiveIdentifiee",0,1,"",""
"fr-lm-directive-anticipee.reference","fr-lm-directive-anticipee.reference","","","",0,1,"","","","BackboneElement {[]} {[]}
","Référence à un document externe","Référence à un document externe","","","","","","","","","",,,,,"",,,,"fr-lm-directive-anticipee.reference",0,1,"",""
"fr-lm-directive-anticipee.documentEncapsule","fr-lm-directive-anticipee.documentEncapsule","","","",0,1,"","","","Base {[]} {[]}
","Document encapsulé en B64","Document encapsulé en B64","","","","","","","","","",,,,,"",,,,"fr-lm-directive-anticipee.documentEncapsule",0,1,"",""
"fr-lm-directive-anticipee.documentEncapsule.observationMedia","fr-lm-directive-anticipee.documentEncapsule.observationMedia","","","",1,1,"","","","Base {[]} {[]}
","Observation média","Observation média","","","","","","","","","",,,,,"",,,,"fr-lm-directive-anticipee.documentEncapsule.observationMedia",1,1,"",""
"fr-lm-directive-anticipee.documentEncapsule.observationMedia.identifiant","fr-lm-directive-anticipee.documentEncapsule.observationMedia.identifiant","","","",0,1,"","","","Identifier {[]} {[]}
","Identifiant de l’observationMedia","Identifiant de l’observationMedia","","","","","","","","","",,,,,"",,,,"fr-lm-directive-anticipee.documentEncapsule.observationMedia.identifiant",0,1,"",""
"fr-lm-directive-anticipee.documentEncapsule.observationMedia.documentEncapsuleEncode","fr-lm-directive-anticipee.documentEncapsule.observationMedia.documentEncapsuleEncode","","","",0,1,"","","","base64Binary {[]} {[]}
","Document encapsulé encodée en Base64","Document encapsulé encodée en Base64","","","","","","","","","",,,,,"",,,,"fr-lm-directive-anticipee.documentEncapsule.observationMedia.documentEncapsuleEncode",0,1,"",""
