"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"fr-lm-rang-vaccination","fr-lm-rang-vaccination","","","",0,*,"","","","null {[]} {[]}
","Modèle logique métier - FR LM Rang de la vaccination","Rang de la vaccination ","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"fr-lm-rang-vaccination.identifiantRangVaccination","fr-lm-rang-vaccination.identifiantRangVaccination","","","",0,*,"","","","Identifier {[]} {[]}
","Identifiant de l’entrée","Identifiant de l’entrée","","","","","","","","","",,,,,"",,,,"fr-lm-rang-vaccination.identifiantRangVaccination",0,*,"",""
"fr-lm-rang-vaccination.codeRangVaccination","fr-lm-rang-vaccination.codeRangVaccination","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Code de l'entrée","Code de l'entrée","","","","","","","","","",,,,,"",,,,"fr-lm-rang-vaccination.codeRangVaccination",1,1,"",""
"fr-lm-rang-vaccination.derivationRangVaccination","fr-lm-rang-vaccination.derivationRangVaccination","","","",0,1,"","","","string {[]} {[]}
","derivation.","derivation.","","","","","","","","","",,,,,"",,,,"fr-lm-rang-vaccination.derivationRangVaccination",0,1,"",""
"fr-lm-rang-vaccination.descriptionRangVaccination","fr-lm-rang-vaccination.descriptionRangVaccination","","","",0,1,"","","","Narrative {[]} {[]}
","Partie narrative de l’entrée","Partie narrative de l’entrée","","","","","","","","","",,,,,"",,,,"fr-lm-rang-vaccination.descriptionRangVaccination",0,1,"",""
"fr-lm-rang-vaccination.statutRangVaccination","fr-lm-rang-vaccination.statutRangVaccination","","","",1,1,"","","","code {[]} {[]}
","Statut de l’entrée","Statut de l’entrée","","","","","","","","","",,,,,"",,,,"fr-lm-rang-vaccination.statutRangVaccination",1,1,"",""
"fr-lm-rang-vaccination.dateRangVaccination","fr-lm-rang-vaccination.dateRangVaccination","","","",0,1,"","","","dateTime {[]} {[]}
","Date de l’observation","Date de l’observation","","","","","","","","","",,,,,"",,,,"fr-lm-rang-vaccination.dateRangVaccination",0,1,"",""
"fr-lm-rang-vaccination.prioriteRangVaccination","fr-lm-rang-vaccination.prioriteRangVaccination","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Priorité","Priorité","","","","","","","","","",,,,,"",,,,"fr-lm-rang-vaccination.prioriteRangVaccination",0,1,"",""
"fr-lm-rang-vaccination.nombreRenouvellements","fr-lm-rang-vaccination.nombreRenouvellements","","","",0,1,"","","","Range {[]} {[]}
","Nombre de renouvellements possibles","Nombre de renouvellements possibles","","","","","","","","","",,,,,"",,,,"fr-lm-rang-vaccination.nombreRenouvellements",0,1,"",""
"fr-lm-rang-vaccination.languageRangVaccination","fr-lm-rang-vaccination.languageRangVaccination","","","",0,1,"","","","code {[]} {[]}
","Language","Language","","","","","","","","","",,,,,"",,,,"fr-lm-rang-vaccination.languageRangVaccination",0,1,"",""
"fr-lm-rang-vaccination.rangVaccination","fr-lm-rang-vaccination.rangVaccination","","","",1,1,"","","","integer {[]} {[]}
","Rang de la vaccination","Rang de la vaccination","","","","","","","","","",,,,,"",,,,"fr-lm-rang-vaccination.rangVaccination",1,1,"",""
