"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"fr-lm-traitement-dispense","fr-lm-traitement-dispense","","","",0,*,"","","","null {[]} {[]}
","Modèle logique métier - FR LM Traitement dispensé","Traitement dispense","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"fr-lm-traitement-dispense.identifiant","fr-lm-traitement-dispense.identifiant","","","",1,1,"","","","Extension {[CanonicalType[http://hl7.org/fhir/StructureDefinition/elementdefinition-identifier]]} {[]}
","Identifiant de l’entrée","Identifiant de l’entrée","","","","","","","","","",,,,,"",,,,"fr-lm-traitement-dispense.identifiant",1,1,"",""
"fr-lm-traitement-dispense.code","fr-lm-traitement-dispense.code","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Complétude de la dispensation","Complétude de la dispensation","","","","","","","","","",,,,,"",,,,"fr-lm-traitement-dispense.code",0,1,"",""
"fr-lm-traitement-dispense.description","fr-lm-traitement-dispense.description","","","",1,1,"","","","Narrative {[]} {[]}
","Texte de l'entrée","Texte de l'entrée","","","","","","","","","",,,,,"",,,,"fr-lm-traitement-dispense.description",1,1,"",""
"fr-lm-traitement-dispense.quantite","fr-lm-traitement-dispense.quantite","","","",1,1,"","","","Quantity {[]} {[]}
","Quantité : Unité issue de EDQM Packaging","Quantité : Unité issue de EDQM Packaging","","","","","","","","","",,,,,"",,,,"fr-lm-traitement-dispense.quantite",1,1,"",""
"fr-lm-traitement-dispense.medicamentDelivre","fr-lm-traitement-dispense.medicamentDelivre","","","",1,1,"","","","https://interop.esante.gouv.fr/ig/document/core/StructureDefinition/fr-lm-produit-sante {[]} {[]}
","Médicament délivré","Médicament délivré","","","","","","","","","",,,,,"",,,,"fr-lm-traitement-dispense.medicamentDelivre",1,1,"",""
"fr-lm-traitement-dispense.referencePrescription","fr-lm-traitement-dispense.referencePrescription","","","",0,1,"","","","https://interop.esante.gouv.fr/ig/document/core/StructureDefinition/fr-lm-reference-item-prescription {[]} {[]}
","Référence de la prescription","Référence de la prescription","","","","","","","","","",,,,,"",,,,"fr-lm-traitement-dispense.referencePrescription",0,1,"",""
"fr-lm-traitement-dispense.traitement","fr-lm-traitement-dispense.traitement","","","",0,1,"","","","https://interop.esante.gouv.fr/ig/document/core/StructureDefinition/fr-lm-traitement {[]} {[]}
","Posologie","Posologie","","","","","","","","","",,,,,"",,,,"fr-lm-traitement-dispense.traitement",0,1,"",""
"fr-lm-traitement-dispense.instructionsPatient","fr-lm-traitement-dispense.instructionsPatient","","","",0,1,"","","","https://interop.esante.gouv.fr/ig/document/core/StructureDefinition/fr-lm-instructions-patient {[]} {[]}
","Instructions au patient","Instructions au patient","","","","","","","","","",,,,,"",,,,"fr-lm-traitement-dispense.instructionsPatient",0,1,"",""
"fr-lm-traitement-dispense.notesDispensateur","fr-lm-traitement-dispense.notesDispensateur","","","",0,1,"","","","https://interop.esante.gouv.fr/ig/document/core/StructureDefinition/fr-lm-notes-dispensateur {[]} {[]}
","Notes du dispensateur","Notes du dispensateur","","","","","","","","","",,,,,"",,,,"fr-lm-traitement-dispense.notesDispensateur",0,1,"",""
"fr-lm-traitement-dispense.substitution","fr-lm-traitement-dispense.substitution","","","",0,1,"","","","https://interop.esante.gouv.fr/ig/document/core/StructureDefinition/fr-lm-acte-substitution {[]} {[]}
","Substitution","Substitution","","","","","","","","","",,,,,"",,,,"fr-lm-traitement-dispense.substitution",0,1,"",""
