"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"fr-lm-quantite-produit","fr-lm-quantite-produit","","","",0,*,"","","","null {[]} {[]}
","Modèle logique métier - FR LM Quantité de produit","Quantité de produit","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"fr-lm-quantite-produit.independant","fr-lm-quantite-produit.independant","","","",1,1,"","","","boolean {[]} {[]}
","Booléen. Valeur fixée à 'false'","Booléen. Valeur fixée à 'false'","","","","","","","","","",,,,,"",,,,"fr-lm-quantite-produit.independant",1,1,"",""
"fr-lm-quantite-produit.quantiteProduit","fr-lm-quantite-produit.quantiteProduit","","","",1,1,"","","","Quantity {[]} {[]}
","Quantité de produit","Quantité de produit","","","","","","","","","",,,,,"",,,,"fr-lm-quantite-produit.quantiteProduit",1,1,"",""
