"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"fr-lm-vaccin-recommande","fr-lm-vaccin-recommande","","","",0,*,"","","","null {[]} {[]}
","Modèle logique métier - FR LM Vaccin recommandé","Vaccin recommandé","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"fr-lm-vaccin-recommande.identifiantVaccinRecommande","fr-lm-vaccin-recommande.identifiantVaccinRecommande","","","",1,1,"","","","Identifier {[]} {[]}
","Identifiant de l’entrée","Identifiant de l’entrée","","","","","","","","","",,,,,"",,,,"fr-lm-vaccin-recommande.identifiantVaccinRecommande",1,1,"",""
"fr-lm-vaccin-recommande.codeVaccinRecommande","fr-lm-vaccin-recommande.codeVaccinRecommande","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Type d'acte : vaccination","Type d'acte : vaccination","","","","","","","","","",,,,,"",,,,"fr-lm-vaccin-recommande.codeVaccinRecommande",1,1,"",""
"fr-lm-vaccin-recommande.descriptionNarrativeVaccinRecommande","fr-lm-vaccin-recommande.descriptionNarrativeVaccinRecommande","","","",1,1,"","","","Narrative {[]} {[]}
","Partie narrative de l’entrée","Partie narrative de l’entrée","","","","","","","","","",,,,,"",,,,"fr-lm-vaccin-recommande.descriptionNarrativeVaccinRecommande",1,1,"",""
"fr-lm-vaccin-recommande.statutVaccinRecommande","fr-lm-vaccin-recommande.statutVaccinRecommande","","","",1,1,"","","","code {[]} {[]}
","Statut de l’entrée","Statut de l’entrée","","","","","","","","","",,,,,"",,,,"fr-lm-vaccin-recommande.statutVaccinRecommande",1,1,"",""
"fr-lm-vaccin-recommande.periodeVaccination","fr-lm-vaccin-recommande.periodeVaccination","","","",1,1,"","","","dateTime {[]} {[]}
","Période de vaccination souhaitable","Période de vaccination souhaitable","","","","","","","","","",,,,,"",,,,"fr-lm-vaccin-recommande.periodeVaccination",1,1,"",""
"fr-lm-vaccin-recommande.voieAdministration","fr-lm-vaccin-recommande.voieAdministration","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Voie d’administration","Voie d’administration","","","","","","","","","",,,,,"",,,,"fr-lm-vaccin-recommande.voieAdministration",0,1,"",""
"fr-lm-vaccin-recommande.regionAnatomique","fr-lm-vaccin-recommande.regionAnatomique","","","",0,*,"","","","CodeableConcept {[]} {[]}
","Région anatomique d'administration","Région anatomique d'administration","","","","","","","","","",,"","SNOMED CT (2.16.840.1.113883.6.96)","","",,,,"fr-lm-vaccin-recommande.regionAnatomique",0,*,"",""
"fr-lm-vaccin-recommande.doseAdministree","fr-lm-vaccin-recommande.doseAdministree","","","",0,1,"","","","Quantity {[]} {[]}
","Dose administrée","Dose administrée","","","","","","","","","",,,,,"",,,,"fr-lm-vaccin-recommande.doseAdministree",0,1,"",""
"fr-lm-vaccin-recommande.vaccin","fr-lm-vaccin-recommande.vaccin","","","",1,1,"","","","https://interop.esante.gouv.fr/ig/document/core/StructureDefinition/fr-lm-produit-sante {[]} {[]}
","Vaccin","Vaccin","","","","","","","","","",,,,,"",,,,"fr-lm-vaccin-recommande.vaccin",1,1,"",""
"fr-lm-vaccin-recommande.prescription","fr-lm-vaccin-recommande.prescription","","","",0,1,"","","","https://interop.esante.gouv.fr/ig/document/core/StructureDefinition/fr-lm-prescription-entree {[]} {[]}
","Référence de la prescription","Référence de la prescription","","","","","","","","","",,,,,"",,,,"fr-lm-vaccin-recommande.prescription",0,1,"",""
"fr-lm-vaccin-recommande.rangVaccination","fr-lm-vaccin-recommande.rangVaccination","","","",0,1,"","","","https://interop.esante.gouv.fr/ig/document/core/StructureDefinition/fr-lm-rang-vaccination {[]} {[]}
","Rang de la vaccination","Rang de la vaccination","","","","","","","","","",,,,,"",,,,"fr-lm-vaccin-recommande.rangVaccination",0,1,"",""
"fr-lm-vaccin-recommande.commentaire","fr-lm-vaccin-recommande.commentaire","","","",0,1,"","","","https://interop.esante.gouv.fr/ig/document/core/StructureDefinition/fr-lm-commentaire-er {[]} {[]}
","Commentaire","Commentaire","","","","","","","","","",,,,,"",,,,"fr-lm-vaccin-recommande.commentaire",0,1,"",""
