"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"fr-lm-certitude","fr-lm-certitude","","","",0,*,"","","","null {[]} {[]}
","Modèle logique métier - FR LM Certitude","Certitude","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"fr-lm-certitude.identifiant","fr-lm-certitude.identifiant","","","",1,1,"","","","Identifier {[]} {[]}
","Identifiant de l'observation","Identifiant de l'observation","","","","","","","","","",,,,,"",,,,"fr-lm-certitude.identifiant",1,1,"",""
"fr-lm-certitude.code","fr-lm-certitude.code","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Code de l'observation","Code de l'observation","","","","","","","","","",,,,,"",,,,"fr-lm-certitude.code",1,1,"",""
"fr-lm-certitude.statut","fr-lm-certitude.statut","","","",1,1,"","","","code {[]} {[]}
","Statut de l'observation","Statut de l'observation","","","","","","","","","",,,,,"",,,,"fr-lm-certitude.statut",1,1,"",""
"fr-lm-certitude.date","fr-lm-certitude.date","","","",1,1,"","","","dateTime {[]} {[]}
","Date de l'observation","Date de l'observation","","","","","","","","","",,,,,"",,,,"fr-lm-certitude.date",1,1,"",""
"fr-lm-certitude.descriptionNarrative","fr-lm-certitude.descriptionNarrative","","","",1,1,"","","","Narrative {[]} {[]}
","Description narrative de l'observation","Description narrative de l'observation","","","","","","","","","",,,,,"",,,,"fr-lm-certitude.descriptionNarrative",1,1,"",""
"fr-lm-certitude.valeur","fr-lm-certitude.valeur","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Valeur de l'observation","Valeur de l'observation","","","","","","","","","",,,,,"",,,,"fr-lm-certitude.valeur",1,1,"",""
