"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"fr-lm-evolution-effet-indesirable","fr-lm-evolution-effet-indesirable","","","",0,*,"","","","null {[]} {[]}
","Modèle logique métier - FR LM Evolution effet indesirable","Evolution effet indesirable","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"fr-lm-evolution-effet-indesirable.code","fr-lm-evolution-effet-indesirable.code","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Code de l'entrée","Code de l'entrée","","","","","","","","","",,,,,"",,,,"fr-lm-evolution-effet-indesirable.code",1,1,"",""
"fr-lm-evolution-effet-indesirable.description","fr-lm-evolution-effet-indesirable.description","","","",1,1,"","","","Narrative {[]} {[]}
","Partie narrative de l'entrée","Partie narrative de l'entrée","","","","","","","","","",,,,,"",,,,"fr-lm-evolution-effet-indesirable.description",1,1,"",""
"fr-lm-evolution-effet-indesirable.statut","fr-lm-evolution-effet-indesirable.statut","","","",1,1,"","","","code {[]} {[]}
","Statut de l'entrée","Statut de l'entrée","","","","","","","","","",,,,,"",,,,"fr-lm-evolution-effet-indesirable.statut",1,1,"",""
"fr-lm-evolution-effet-indesirable.evolution","fr-lm-evolution-effet-indesirable.evolution","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Evolution","Evolution","","","","","","","","","",,,,,"",,,,"fr-lm-evolution-effet-indesirable.evolution",1,1,"",""
