"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"fr-lm-signe-vital-observe","fr-lm-signe-vital-observe","","","",0,*,"","","","null {[]} {[]}
","Modèle logique métier - FR LM Signe vital observé","Signe vital observé","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"fr-lm-signe-vital-observe.identifiant","fr-lm-signe-vital-observe.identifiant","","","",1,1,"","","","Identifier {[]} {[]}
","Identifiant de l'entrée","Identifiant de l'entrée","","","","","","","","","",,,,,"",,,,"fr-lm-signe-vital-observe.identifiant",1,1,"",""
"fr-lm-signe-vital-observe.code","fr-lm-signe-vital-observe.code","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Code de l'entrée. Signe vital observé","Code de l'entrée. Signe vital observé","","","","","","","","","",,,,,"",,,,"fr-lm-signe-vital-observe.code",1,1,"",""
"fr-lm-signe-vital-observe.description","fr-lm-signe-vital-observe.description","","","",1,1,"","","","Narrative {[]} {[]}
","Description narrative","Description narrative","","","","","","","","","",,,,,"",,,,"fr-lm-signe-vital-observe.description",1,1,"",""
"fr-lm-signe-vital-observe.statut","fr-lm-signe-vital-observe.statut","","","",1,1,"","","","code {[]} {[]}
","Statut de l'entrée","Statut de l'entrée","","","","","","","","","",,,,,"",,,,"fr-lm-signe-vital-observe.statut",1,1,"",""
"fr-lm-signe-vital-observe.date","fr-lm-signe-vital-observe.date","","","",1,1,"","","","dateTime {[]} {[]}
","Date de l'observation","Date de l'observation","","","","","","","","","",,,,,"",,,,"fr-lm-signe-vital-observe.date",1,1,"",""
"fr-lm-signe-vital-observe.observationEffectuee","fr-lm-signe-vital-observe.observationEffectuee","","","",1,1,"","","","Quantity {[]} {[]}
","Observation effectuée","Observation effectuée","","","","","","","","","",,,,,"",,,,"fr-lm-signe-vital-observe.observationEffectuee",1,1,"",""
"fr-lm-signe-vital-observe.interpretation","fr-lm-signe-vital-observe.interpretation","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Interprétation","Interprétation","","","","","","","","","",,,,,"",,,,"fr-lm-signe-vital-observe.interpretation",0,1,"",""
"fr-lm-signe-vital-observe.methodeUtilisee","fr-lm-signe-vital-observe.methodeUtilisee","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Méthode utilisée pour l'observation","Méthode utilisée pour l'observation","","","","","","","","","",,,,,"",,,,"fr-lm-signe-vital-observe.methodeUtilisee",0,1,"",""
"fr-lm-signe-vital-observe.siteObservation","fr-lm-signe-vital-observe.siteObservation","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Site de l'observation","Site de l'observation","","","","","","","","","",,,,,"",,,,"fr-lm-signe-vital-observe.siteObservation",0,1,"",""
"fr-lm-signe-vital-observe.auteur","fr-lm-signe-vital-observe.auteur","","","",0,1,"","","","https://interop.esante.gouv.fr/ig/document/core/StructureDefinition/fr-lm-auteur {[]} {[]}
","Auteur","Auteur","","","","","","","","","",,,,,"",,,,"fr-lm-signe-vital-observe.auteur",0,1,"",""
