"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"fr-lm-criticite","fr-lm-criticite","","","",0,*,"","","","null {[]} {[]}
","Modèle logique métier - FR LM Criticite","Criticite","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"fr-lm-criticite.identifiant","fr-lm-criticite.identifiant","","","",1,1,"","","","Identifier {[]} {[]}
","Identifiant de l'observation","Identifiant de l'observation","","","","","","","","","",,,,,"",,,,"fr-lm-criticite.identifiant",1,1,"",""
"fr-lm-criticite.code","fr-lm-criticite.code","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Code de l'observation","Code de l'observation","","","","","","","","","",,,,,"",,,,"fr-lm-criticite.code",1,1,"",""
"fr-lm-criticite.statut","fr-lm-criticite.statut","","","",1,1,"","","","code {[]} {[]}
","Statut de l'observation","Statut de l'observation","","","","","","","","","",,,,,"",,,,"fr-lm-criticite.statut",1,1,"",""
"fr-lm-criticite.date","fr-lm-criticite.date","","","",1,1,"","","","dateTime {[]} {[]}
","Date de l'observation","Date de l'observation","","","","","","","","","",,,,,"",,,,"fr-lm-criticite.date",1,1,"",""
"fr-lm-criticite.descriptionNarrative","fr-lm-criticite.descriptionNarrative","","","",1,1,"","","","Narrative {[]} {[]}
","Description narrative de l'observation","Description narrative de l'observation","","","","","","","","","",,,,,"",,,,"fr-lm-criticite.descriptionNarrative",1,1,"",""
"fr-lm-criticite.valeur","fr-lm-criticite.valeur","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Valeur de l'observation","Valeur de l'observation","","","","","","","","","",,,,,"",,,,"fr-lm-criticite.valeur",1,1,"",""
