"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"fr-lm-examen-imagerie","fr-lm-examen-imagerie","","","",0,*,"","","","null {[]} {[]}
","Modèle logique métier - FR LM Examen Imagerie","DICOM Examen Imagerie","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"fr-lm-examen-imagerie.uuidInstanceExamen","fr-lm-examen-imagerie.uuidInstanceExamen","","","",1,*,"","","","Identifier {[]} {[]}
","UUID instance examen","UUID instance examen","","","","","","","","","",,,,,"",,,,"fr-lm-examen-imagerie.uuidInstanceExamen",1,*,"",""
"fr-lm-examen-imagerie.codeActe","fr-lm-examen-imagerie.codeActe","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Code de l'acte","Code de l'acte","","","","","","","","","",,,,,"",,,,"fr-lm-examen-imagerie.codeActe",1,1,"",""
"fr-lm-examen-imagerie.description","fr-lm-examen-imagerie.description","","","",0,1,"","","","Narrative {[]} {[]}
","Partie narrative de l'entrée","Partie narrative de l'entrée","","","","","","","","","",,,,,"",,,,"fr-lm-examen-imagerie.description",0,1,"",""
"fr-lm-examen-imagerie.dateActe","fr-lm-examen-imagerie.dateActe","","","",0,1,"","","","dateTime {[]} {[]}
","Date de l'acte","Date de l'acte","","","","","","","","","",,,,,"",,,,"fr-lm-examen-imagerie.dateActe",0,1,"",""
"fr-lm-examen-imagerie.serieImagerie","fr-lm-examen-imagerie.serieImagerie","","","",1,1,"","","","https://interop.esante.gouv.fr/ig/document/core/StructureDefinition/fr-lm-serie-imagerie {[]} {[]}
","Serie-imagerie","Serie-imagerie","","","","","","","","","",,,,,"",,,,"fr-lm-examen-imagerie.serieImagerie",1,1,"",""
"fr-lm-examen-imagerie.objectifsReferences","fr-lm-examen-imagerie.objectifsReferences","","","",0,*,"","","","CodeableConcept {[]} {[]}
","Objectifs de reference","Objectifs de reference","","","","","","","","","",,"","jdv-imagerie-objectif-reference-cisis (1.2.250.1.213.1.1.5.672)","","",,,,"fr-lm-examen-imagerie.objectifsReferences",0,*,"",""
