"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"fr-lm-commentaire-er","fr-lm-commentaire-er","","","",0,*,"","","","null {[]} {[]}
","Modèle logique métier - FR LM Commentaire","Commentaire","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"fr-lm-commentaire-er.codeCommentaireER","fr-lm-commentaire-er.codeCommentaireER","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Code de l'entrée","Code de l'entrée","","","","","","","","","",,,,,"",,,,"fr-lm-commentaire-er.codeCommentaireER",1,1,"",""
"fr-lm-commentaire-er.texteCommentaireER","fr-lm-commentaire-er.texteCommentaireER","","","",1,1,"","","","Narrative {[]} {[]}
","Texte du commentaire","Texte du commentaire","","","","","","","","","",,,,,"",,,,"fr-lm-commentaire-er.texteCommentaireER",1,1,"",""
"fr-lm-commentaire-er.statutCommentaireER","fr-lm-commentaire-er.statutCommentaireER","","","",1,1,"","","","code {[]} {[]}
","Statut de l'entrée Fixé à la valeu'completed'","Statut de l'entrée Fixé à la valeu'completed'","","","","","","","","","",,,,,"",,,,"fr-lm-commentaire-er.statutCommentaireER",1,1,"",""
"fr-lm-commentaire-er.auteurCommentaireER","fr-lm-commentaire-er.auteurCommentaireER","","","",0,1,"","","","https://interop.esante.gouv.fr/ig/document/core/StructureDefinition/fr-lm-auteur {[]} {[]}
","Auteur","Auteur","","","","","","","","","",,,,,"",,,,"fr-lm-commentaire-er.auteurCommentaireER",0,1,"",""
