"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"fr-lm-acte-substitution","fr-lm-acte-substitution","","","",0,*,"","","","null {[]} {[]}
","Modèle logique métier - FR LM Acte substitution","Acte substitution","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"fr-lm-acte-substitution.code","fr-lm-acte-substitution.code","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Code de l'entrée","Code de l'entrée","","","","","","","","","",,,,,"",,,,"fr-lm-acte-substitution.code",1,1,"",""
"fr-lm-acte-substitution.statut","fr-lm-acte-substitution.statut","","","",1,1,"","","","code {[]} {[]}
","Statut de l'entrée","Statut de l'entrée","","","","","","<valueCode xmlns=""http://hl7.org/fhir"" value=""completed""/>","","","",,,,,"",,,,"fr-lm-acte-substitution.statut",1,1,"",""
