"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"fr-lm-reference-interne","fr-lm-reference-interne","","","",0,*,"","","","null {[]} {[]}
","Modèle logique métier - FR LM Référence interne","Référence interne","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"fr-lm-reference-interne.identifiant","fr-lm-reference-interne.identifiant","","","",1,1,"","","","Identifier {[]} {[]}
","Identifiant de l'entrée","Identifiant de l'entrée","","","","","","","","","",,,,,"",,,,"fr-lm-reference-interne.identifiant",1,1,"",""
"fr-lm-reference-interne.code","fr-lm-reference-interne.code","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Code de l'élément référencé.  
 - Le 'code' est obligatoire et doit être identique au code de l'élément référencé.  
 - Si l'élément référencé n'a pas codé, alors le 'code' doit être nullFlavor='NA'.","Code de l'élément référencé.  
 - Le 'code' est obligatoire et doit être identique au code de l'élément référencé.  
 - Si l'élément référencé n'a pas codé, alors le 'code' doit être nullFlavor='NA'.","","","","","","","","","",,,,,"",,,,"fr-lm-reference-interne.code",1,1,"",""
