"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"fr-lm-imputabilite-effet-indesirable","fr-lm-imputabilite-effet-indesirable","","","",0,*,"","","","null {[]} {[]}
","Modèle logique métier - FR LM Imputabilite effet indesirable","Imputabilite effet indesirable","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"fr-lm-imputabilite-effet-indesirable.code","fr-lm-imputabilite-effet-indesirable.code","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Code de l'entrée.","Code de l'entrée.","","","","","","","","","",,,,,"",,,,"fr-lm-imputabilite-effet-indesirable.code",1,1,"",""
"fr-lm-imputabilite-effet-indesirable.description","fr-lm-imputabilite-effet-indesirable.description","","","",1,1,"","","","Narrative {[]} {[]}
","Partie narrative de l'entrée","Partie narrative de l'entrée","","","","","","","","","",,,,,"",,,,"fr-lm-imputabilite-effet-indesirable.description",1,1,"",""
"fr-lm-imputabilite-effet-indesirable.statut","fr-lm-imputabilite-effet-indesirable.statut","","","",1,1,"","","","code {[]} {[]}
","Statut de l'entrée","Statut de l'entrée","","","","","","","","","",,,,,"",,,,"fr-lm-imputabilite-effet-indesirable.statut",1,1,"",""
"fr-lm-imputabilite-effet-indesirable.niveauImputabilite","fr-lm-imputabilite-effet-indesirable.niveauImputabilite","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Niveau d'imputabilité","Niveau d'imputabilité","","","","","","","","","",,,,,"",,,,"fr-lm-imputabilite-effet-indesirable.niveauImputabilite",1,1,"",""
